Поле;Тип;Значение;
id;bigint;Уникальный идентификатор пользователя;
keycloak_id;uuid;Идентификатор пользователя в системе Keycloak;
name;varchar(255);Имя пользователя;
surname;varchar(255);Фамилия пользователя;
patronymic;varchar(255);Отчество пользователя;
email;varchar(255);Адрес электронной почты пользователя;
passport;varchar(20);Номер паспорта пользователя;
is_volunteer;boolean;Признак того; является ли пользователь волонтёром
registration_date;date;Дата регистрации пользователя;
is_approved_account;boolean;Статус подтверждения учетной записи;
avatar_id;varchar(255);Идентификатор аватара пользователя;
